timestamp,session_id,repeat,open_latency_ms,frame_count,capture_success,release_success,error
2026-08-13T16:35:37.2992561+00:00,66554625-7d88-4aae-ae7c-09a4e0c1422e,1,84.1063,90,true,true,
2026-08-13T16:35:41.9615385+00:00,8651c156-9fc6-4ee4-b1f9-8d1de702d9e6,2,69.0354,89,true,true,
2026-08-13T16:35:46.6258929+00:00,5fbfbbbe-652d-40e2-93d6-aac368858d89,3,66.414,89,true,true,
2026-08-13T16:35:51.2579252+00:00,e1328508-3523-44ad-a17e-c52095c277ea,4,67.3331,89,true,true,
2026-08-13T16:35:55.8984653+00:00,c49b3dd4-a2c3-4a39-961a-3a6d1df4d46e,5,68.2259,89,true,true,
2026-08-13T16:36:00.5576056+00:00,1ff5f9ce-bf0c-4f87-b551-3331c14b7dd5,6,68.6544,89,true,true,
2026-08-13T16:36:05.2130398+00:00,1a193d8d-9a63-41d8-8ef3-e5cd1c49839a,7,67.0361,89,true,true,
2026-08-13T16:36:09.8661823+00:00,e9ca12af-56fd-40cc-9d45-2c5354d3a77b,8,66.7946,89,true,true,
2026-08-13T16:36:14.5281097+00:00,56f3a895-721f-4880-a832-e6fbf6a6a476,9,69.44,89,true,true,
2026-08-13T16:36:19.1639882+00:00,3aa58df7-4e35-4a6b-ad4e-4161868cffd6,10,67.4128,89,true,true,
2026-08-13T16:36:23.8262278+00:00,68306616-16da-4442-8b80-4d4e2ed3f9af,11,67.9156,89,true,true,
2026-08-13T16:36:28.4648684+00:00,54eb4f08-50bd-48f9-9112-a4d4114787ca,12,68.3306,89,true,true,
2026-08-13T16:36:33.1082522+00:00,fa1a8b97-7fe9-4f08-b588-903ef1b8f063,13,67.2463,89,true,true,
2026-08-13T16:36:37.7489553+00:00,5e626012-efd6-400d-9e45-d27f8f624434,14,67.5996,89,true,true,
2026-08-13T16:36:42.3831709+00:00,7869691c-1465-463d-bd8e-de20ffd74c95,15,68.0083,89,true,true,
2026-08-13T16:36:47.0189733+00:00,cfc8f45c-54bc-4ea0-b9d9-baf40438efe9,16,64.1582,89,true,true,
2026-08-13T16:36:51.6655055+00:00,b5ef9a0a-2329-4103-a8a5-13f1ba7b8426,17,67.0924,89,true,true,
2026-08-13T16:36:56.3223710+00:00,be892b9a-3ad4-4781-bfe5-758fd6ae6bd1,18,71.1314,89,true,true,
2026-08-13T16:37:00.9850852+00:00,c02ddc40-59d8-4094-ba89-90efe0cafab3,19,67.0645,90,true,true,
2026-08-13T16:37:05.6388182+00:00,73fb5468-4171-42b8-8d2f-727a2590c1f2,20,68.3664,89,true,true,
2026-08-13T16:37:10.2765272+00:00,4f08be4f-c4b2-4797-9043-adb6f995eb4d,21,65.0003,89,true,true,
2026-08-13T16:37:14.8994687+00:00,8e228ded-6b23-45af-b8f5-77fc6b9f703e,22,64.9705,89,true,true,
2026-08-13T16:37:19.5224567+00:00,ec36f2ba-6e7e-4b68-9966-e7b7eb76ae35,23,65.7631,89,true,true,
2026-08-13T16:37:24.1852055+00:00,c33b5bfa-fda3-45b4-b25d-d23b407dadfb,24,69.7032,88,true,true,
2026-08-13T16:37:28.8472523+00:00,fb74196c-5562-42e5-bda2-16c903120523,25,68.1751,89,true,true,
2026-08-13T16:37:33.5088849+00:00,18209e4e-e31e-4e23-b4f5-d0f70e4e7072,26,66.6027,89,true,true,
2026-08-13T16:37:38.1712931+00:00,4b248b50-087e-4f60-97f7-2c3541259ca6,27,70.101,89,true,true,
2026-08-13T16:37:42.8078691+00:00,f33806fa-6120-47e9-8d93-352f5a972cee,28,64.7464,90,true,true,
2026-08-13T16:37:47.4689644+00:00,1cc5c89c-5c4a-42fd-af0a-afb254480dc7,29,66.8726,89,true,true,
2026-08-13T16:37:52.1021865+00:00,4f8241cd-a428-4bb5-856e-53227d10be9c,30,68.9655,88,true,true,
2026-08-13T16:50:43.0731794+00:00,123138e4-6df1-41b4-994c-132150e359f9,1,48.9425,0,false,true,
2026-08-13T16:50:47.4342431+00:00,34a8bcb8-895e-465f-a32a-9acaf77847bd,2,38.3008,0,false,true,
2026-08-13T16:50:51.6885417+00:00,517ce6d1-0c43-442a-898f-974a7932c213,3,29.0445,0,false,true,
2026-08-13T16:56:57.5061022+00:00,00971f63-894e-4246-b86e-46e13fd19977,1,89.479,77,true,true,
2026-08-13T16:57:02.1666189+00:00,f22c8c42-f217-4ddd-823d-16b004007045,2,67.2416,76,true,true,
2026-08-13T16:57:06.8240178+00:00,cb95e531-4f46-4fa4-b431-5d9f98d19cf9,3,67.1663,77,true,true,
2026-08-13T16:57:50.3201405+00:00,a3c69574-2ae1-4953-a48c-ec2cb98a2e9a,1,84.0673,77,true,true,
2026-08-13T16:57:54.9821480+00:00,b9f26b97-c8bb-40f8-800a-9d21ac031092,2,66.015,76,true,true,
2026-08-13T16:57:59.6185500+00:00,3df34566-8e04-4a87-8629-23d2a5494e8d,3,65.8104,76,true,true,
2026-08-13T17:01:31.0268589+00:00,49ef58e0-63c1-4491-a7fa-32cc8845dd58,1,345.1182,83,true,true,
2026-08-13T17:01:35.9633144+00:00,e9d11681-d600-4794-8a03-195938fc3d8f,2,324.7799,85,true,true,
2026-08-13T17:01:40.8667659+00:00,332440c4-c463-4e96-869e-d6d3fba996a4,3,318.2745,85,true,true,
2026-08-14T03:03:22.3493870+00:00,eb34c470-ce44-4d96-b2f3-7206da9d27e9,1,85.9226,76,true,true,
2026-08-14T03:03:27.0067005+00:00,48d2234a-d3dc-48d1-85b1-176041c25d14,2,70.8023,75,true,true,
2026-08-14T03:03:31.6466262+00:00,bb69a301-b79d-48d7-98a5-081e450a3e8c,3,70.42,75,true,true,
2026-08-14T03:03:36.2766775+00:00,ee2a2b03-dcf7-4ca4-82be-d39fd809dcf3,4,70.0653,76,true,true,
2026-08-14T03:03:40.9207093+00:00,257dc95f-1d46-44b1-a716-58fe53253ef8,5,73.342,76,true,true,
2026-08-14T03:20:16.8462633+00:00,c0a693ad-25c7-477a-8e7f-10e2236afc3a,1,98.5344,90,true,true,
2026-08-14T03:20:21.5114522+00:00,750a199c-ee82-4f0a-a980-f8a807dbfb9a,2,79.7643,89,true,true,
2026-08-14T03:20:26.1735801+00:00,77c6b9dc-c1e2-4d17-8b90-8b065bac55f6,3,77.7476,90,true,true,
2026-08-14T03:20:30.8238300+00:00,1d9c5f23-21ba-430e-9b90-117d36730560,4,79.2921,89,true,true,
2026-08-14T03:20:35.4687272+00:00,152a4696-9d2c-4fa4-be38-b39c741cf221,5,75.6455,88,true,true,
2026-09-03T13:06:53.9007814+00:00,f0d4b202-ff89-4370-af25-e6b042263155,1,,0,false,true,FileLoadException: 程序無法存取檔案，因為檔案正由另一個程序使用。 (0x80070020)
2026-09-03T13:07:14.9395311+00:00,781c310b-a3e6-417b-a4e0-f441697aeeb0,1,,0,false,true,FileLoadException: 程序無法存取檔案，因為檔案正由另一個程序使用。 (0x80070020)
2026-09-03T13:07:40.8862569+00:00,6895a38c-028b-47eb-83ef-96b930d94a5e,1,,0,false,true,FileLoadException: 程序無法存取檔案，因為檔案正由另一個程序使用。 (0x80070020)
2026-09-03T13:07:50.1944317+00:00,d997c457-a7ad-494e-be15-e98dac73db9a,1,90.924,0,false,true,
2026-09-03T13:08:03.0069552+00:00,d091ffdd-fb8e-4812-8ab9-643f2d3bc52e,1,,0,false,true,FileLoadException: 程序無法存取檔案，因為檔案正由另一個程序使用。 (0x80070020)
2026-09-03T13:31:17.9882850+00:00,81f7e74e-b57c-4c2c-8756-c9f95d5d6867,1,80.8638,47,true,true,
2026-09-03T15:01:47.0989254+00:00,e9521818-785f-4576-b4bc-fb92e01d78bd,1,78.2837,50,true,true,
2026-09-03T15:08:20.2679649+00:00,6cf877cb-7067-452a-9125-320b35f42887,1,70.287,76,true,true,
2026-09-03T15:08:25.2241045+00:00,b5e06f8b-6b77-43c4-a106-495cb2f48148,1,41.1477,0,false,true,
2026-09-03T15:08:30.2441981+00:00,e0446ab8-dddb-4177-a3a2-4e26615cc32b,1,43.1442,0,false,true,
2026-09-03T15:08:35.1760400+00:00,18f953a6-af07-4e66-8afe-e818ec2c6540,1,41.6834,0,false,true,
2026-09-03T15:08:40.1299919+00:00,88f1db1e-8c2e-44c3-b7a6-7ae812c2f6a7,1,41.3484,0,false,true,
2026-09-03T15:08:45.2403086+00:00,a760b058-148b-4855-9baf-df16b58f0bcb,1,42.4535,0,false,true,
2026-09-03T15:09:51.1913762+00:00,a3ed13d2-7ef5-4863-a42d-aa4899b70dca,1,41.9499,0,false,true,
2026-09-03T15:12:03.6662985+00:00,8eebdb68-f209-4c08-9974-f8970e599d14,1,77.8993,51,true,true,
2026-09-03T15:22:14.4220942+00:00,c41e7b6a-9565-4af5-b9de-c9430408eeef,1,78.4828,51,true,true,
2026-09-03T15:22:33.9056823+00:00,0d720689-0460-4a5d-b53b-608d2296a229,1,77.2379,51,true,true,
2026-09-03T15:26:54.1943265+00:00,ff3befc9-5b7c-4357-a985-79b19006bde6,1,72.9101,51,true,true,
2026-09-03T15:27:18.0331472+00:00,55149d52-9603-46a5-999e-91de2c215c9e,1,70.1897,51,true,true,
2026-09-03T15:27:54.3150945+00:00,2e35da2c-6fd1-4b67-b7a9-d0f9a047d455,1,70.7853,50,true,true,
2026-09-03T15:28:43.9726772+00:00,579a76ca-996d-4958-b9d2-6452d9d69207,1,70.1105,50,true,true,
2026-09-03T15:29:00.1946683+00:00,cc78ae5c-2088-440d-9116-cb13412c1dcc,1,73.4255,50,true,true,
